,account,impressions,avg_cpc,ctr,conv_rate,ad_group,headline_1,headline_2,headline_3,description_line_1,description_line_2
372,568-744-5298,538,1.81,0.028,0.00%,Bentley (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
348,568-744-5298,221,3.31,0.027,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
228,568-744-5298,423,2.83,0.026,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease for $1,673",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,673 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
347,568-744-5298,766,2.4,0.025,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
383,568-744-5298,1183,2.61,0.024,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
298,568-744-5298,621,2.27,0.022,0.00%,Lamborghini,Aston Martin Rapide,Lease A New 2019 Rapide AMR,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
281,568-744-5298,3131,1.87,0.022,0.00%,Lamborghini,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
184,568-744-5298,1342,2.08,0.022,6.90%,Bentley,Aston Martin DB11,"Lease All New DB11 for $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
176,568-744-5298,4004,2.8,0.021,0.00%,McLaren,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
191,568-744-5298,383,1.86,0.021,0.00%,Bentley,All New Aston Martin DB11,"Lease For $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
293,568-744-5298,5756,1.97,0.02,0.00%,Lamborghini,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
382,568-744-5298,202,1.59,0.02,0.00%,Lamborghini (newportbeach.astonmartininventory.com),All New Aston Martin DB11,"Lease For $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $1,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
340,568-744-5298,211,2.76,0.019,0.00%,Mercedes (newportbeach.astonmartininventory.com),Aston Martin Vantage,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
296,568-744-5298,540,3.45,0.017,0.00%,Lamborghini,All New Aston Martin DB11,"Lease For $2,799",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,799 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
179,568-744-5298,2193,2.56,0.017,0.00%,McLaren,Aston Martin DBS Superleggera,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
178,568-744-5298,325,2.72,0.015,0.00%,McLaren,Aston Martin DBS Superleggera,Lease The All New DBS,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
175,568-744-5298,339,2.17,0.015,0.00%,McLaren,Aston Martin DBS Superleggera,Lease The All New DBS,Aston Martin Newport Beach,Lease an all new Aston Martin DBS Superleggera from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
366,568-744-5298,518,2.18,0.015,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11 V8 Coupe,"Lease The All New DB11, $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
412,568-744-5298,831,3.05,0.013,0.00%,Rapide,Aston Martin Rapide,Lease A New 2019 Rapide AMR,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
365,568-744-5298,436,2.34,0.012,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11 Volante,"Lease The All New DB11, $2,399",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $2,399 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
183,568-744-5298,1755,3.0,0.01,0.00%,Bentley,Aston Martin DB11,"Lease The All New DB11, $1,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 V8 for $1,899 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
389,568-744-5298,221,1.95,0.009,0.00%,BMW (newportbeach.astonmartininventory.com),The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
220,568-744-5298,257,2.08,0.008,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease For $1,399",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,399 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
341,568-744-5298,604,3.09,0.008,0.00%,Mercedes (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
415,568-744-5298,2828,2.91,0.007,0.00%,Rapide,Aston Martin Rapide AMR,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Rapide AMR Sedan from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
362,568-744-5298,271,1.7,0.007,0.00%,Bentley (newportbeach.astonmartininventory.com),Aston Martin DB11,"Lease All New DB11 for $2,399",Aston Martin Newport Beach,"Lease a new Aston Martin DB11 Volante for $2,399 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
218,568-744-5298,3166,2.17,0.006,0.00%,Porsche 911,The New Aston Martin Vantage,"Lease For $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
204,568-744-5298,227,2.78,0.004,0.00%,Bentley,Aston Martin DB11 AMR,"Lease The All New DB11, $2,799",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 for $2,799 a month. Visit Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
196,568-744-5298,514,3.02,0.002,0.00%,Bentley,Aston Martin DB11 AMR,"Lease All New DB11 for $2,899",Aston Martin Newport Beach,"Lease an all new Aston Martin DB11 AMR for $2,899 a month from Aston Martin Newport Beach.",Home to one of the most exclusive collections of new Aston Martins in the world.
217,568-744-5298,813,1.58,0.001,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
346,568-744-5298,770,1.89,0.001,0.00%,Porsche 911 (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
385,568-744-5298,375,0.0,0.0,0.00%,BMW (newportbeach.astonmartininventory.com),Aston Martin Vantage Coupe,"Lease The New Vantage, $1,299",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,299 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
221,568-744-5298,242,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,399",Aston Martin Newport Beach,"Lease an all new Aston Martin Vantage for $1,399 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
229,568-744-5298,386,0.0,0.0,0.00%,Porsche 911,Aston Martin Vantage,"Lease The New Vantage, $1,673",Aston Martin Newport Beach,"Lease an all new 2019 Vantage Coupe for $1,673 a month from Aston Martin Newport Beach",Home to one of the most exclusive collections of new Aston Martins in the world.
414,568-744-5298,343,0.0,0.0,0.00%,Rapide,Aston Martin Rapide AMR,View Photos & Details,Aston Martin Newport Beach,Lease an all new 2019 Aston Martin Rapide from Aston Martin Newport Beach,Home to one of the most exclusive collections of new Aston Martins in the world.
